speaker_norm,path_audio,attack_type
1500,a02/1500/29.wav,a02
1500,a02/1500/46.wav,a02
1500,a02/1500/22.wav,a02
1500,a02/1500/30.wav,a02
1500,a02/1500/34.wav,a02
1500,a02/1500/7.wav,a02
1500,a02/1500/48.wav,a02
1500,a02/1500/31.wav,a02
1500,a02/1500/10.wav,a02
1500,a02/1500/5.wav,a02
1500,a02/1500/32.wav,a02
1500,a02/1500/36.wav,a02
1500,a02/1500/21.wav,a02
1500,a02/1500/47.wav,a02
1500,a02/1500/25.wav,a02
1500,a02/1500/24.wav,a02
1500,a02/1500/13.wav,a02
1500,a02/1500/37.wav,a02
1500,a02/1500/2.wav,a02
1500,a02/1500/42.wav,a02
1500,a02/1500/20.wav,a02
1500,a02/1500/9.wav,a02
1500,a02/1500/41.wav,a02
1500,a02/1500/26.wav,a02
1500,a02/1500/49.wav,a02
1500,a02/1500/8.wav,a02
1500,a02/1500/43.wav,a02
1500,a02/1500/28.wav,a02
1500,a02/1500/3.wav,a02
1500,a02/1500/35.wav,a02
1500,a02/1500/40.wav,a02
1500,a02/1500/50.wav,a02
1500,a02/1500/27.wav,a02
1500,a02/1500/14.wav,a02
1500,a02/1500/23.wav,a02
1500,a02/1500/39.wav,a02
1500,a02/1500/6.wav,a02
1500,a02/1500/12.wav,a02
1500,a02/1500/1.wav,a02
1500,a02/1500/19.wav,a02
1500,a02/1500/33.wav,a02
1500,a02/1500/44.wav,a02
1500,a02/1500/16.wav,a02
1500,a02/1500/4.wav,a02
1500,a02/1500/38.wav,a02
1500,a02/1500/45.wav,a02
1500,a02/1500/17.wav,a02
1500,a02/1500/18.wav,a02
1500,a02/1500/11.wav,a02
1500,a02/1500/15.wav,a02
2669,a02/2669/29.wav,a02
2669,a02/2669/46.wav,a02
2669,a02/2669/22.wav,a02
2669,a02/2669/30.wav,a02
2669,a02/2669/34.wav,a02
2669,a02/2669/7.wav,a02
2669,a02/2669/48.wav,a02
2669,a02/2669/31.wav,a02
2669,a02/2669/10.wav,a02
2669,a02/2669/5.wav,a02
2669,a02/2669/32.wav,a02
2669,a02/2669/36.wav,a02
2669,a02/2669/21.wav,a02
2669,a02/2669/47.wav,a02
2669,a02/2669/25.wav,a02
2669,a02/2669/24.wav,a02
2669,a02/2669/13.wav,a02
2669,a02/2669/37.wav,a02
2669,a02/2669/2.wav,a02
2669,a02/2669/42.wav,a02
2669,a02/2669/20.wav,a02
2669,a02/2669/9.wav,a02
